"","clinicRef","clinicName","clinicAddr","city","groupRef","groupName","hos1Ref","hos1Name","hos2Ref","hos2Name","hos3Ref","hos3Name","hos4Ref","hos4Name","lon","lat"
"1","3501173032","陽光耳鼻喉科診所","台北市信義區松山路484之8號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5778953,25.0387351
"2","3501011260","江崇萍小兒科診所","台北市松山區南京東路5段251巷24弄27號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5643544,25.0523388
"3","3501013059","親親家庭診所","台北市松山區南京東路5段347號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5677862,25.0515679
"4","3501103272","大直診所","台北市中山區北安路595巷2弄2號(1樓及地下層)及6號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5482959,25.081895
"5","3501103978","吳振力診所","台北市中山區長春路309號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.54284,25.054829
"6","3501011322","安成診所","台北市松山區富錦街497號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.563845,25.0610999
"7","3501011493","車參薇小兒科診所","台北市松山區八德路3段195號1樓","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5560747,25.0481228
"8","3501021480","林青穀家庭醫學科診所","台北市大安區大安路1段2-1號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5461047,25.0448141
"9","3501106166","興安診所","台北市中山區民生東路3段90號2樓、90號2樓之3","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.543485,25.057454
"10","3501104322","民生承安診所","台北市中山區民生東路3段90號1、2樓","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.543485,25.057454
"11","3501013059","親親家庭診所","台北市松山區南京東路5段347號","臺北市","1010100114","台北好安心","1101010021","基督復臨安息日會醫療財團法人臺安醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5677862,25.0515679
"12","3501013157","大家好診所","台北市松山區民生東路4段80巷11弄2號1樓","臺北市","1010100313","松山","101090517","臺北市立聯合醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5530934,25.056555
"13","2101110027","臺北市立聯合醫院附設內湖門診部","台北市內湖區民權東路6段99號1樓","臺北市","1010100313","松山","101090517","臺北市立聯合醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5891283,25.0692392
"14","2101010013","台北市立聯合醫院附設松山門診部","台北市松山區八德路4段694號1,2樓","臺北市","1010100313","松山","101090517","臺北市立聯合醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5768417,25.0499801
"15","3501112904","成安耳鼻喉科診所","台北市內湖區成功路4段153號","臺北市","1010100313","松山","101090517","臺北市立聯合醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5940163,25.0831562
"16","3501121636","希文耳鼻喉科診所","台北市南港區忠孝東路6段234號","臺北市","1010100313","松山","101090517","臺北市立聯合醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.587748,25.048732
"17","3501012838","閎新耳鼻喉科皮膚科聯合診所","台北市松山區八德路3段20-2號","臺北市","1010100313","松山","101090517","臺北市立聯合醫院","1101020018","國泰醫療財團法人國泰綜合醫院",NA,"",NA,"",121.5510974,25.0481
"18","3501022914","佳音診所","台北市大安區復興南路1段261之3號1樓","臺北市","1010200115","大安民生","1101020018","國泰醫療財團法人國泰綜合醫院","1101010021","基督復臨安息日會醫療財團法人臺安醫院",NA,"",NA,"",121.5438066,25.0361875
"19","3501010816","詹前俊小兒科診所","台北市松山區民生東路5段105號","臺北市","1010200115","大安民生","1101020018","國泰醫療財團法人國泰綜合醫院","1101010021","基督復臨安息日會醫療財團法人臺安醫院",NA,"",NA,"",121.5600759,25.0587954
"20","3501029351","邱醫師診所","台北市大安區和平東路3段288號","臺北市","1010200115","大安民生","1101020018","國泰醫療財團法人國泰綜合醫院","1101010021","基督復臨安息日會醫療財團法人臺安醫院",NA,"",NA,"",121.5560328,25.0208366
"21","3501029351","邱醫師診所","台北市大安區和平東路3段288號","臺北市","1010200115","大安民生","1101020018","國泰醫療財團法人國泰綜合醫院","1101010021","基督復臨安息日會醫療財團法人臺安醫院",NA,"",NA,"",121.5560328,25.0208366
"22","3501020849","向安婦產科外科診所","台北市大安區和平東路1段197號1樓","臺北市","1010200115","大安民生","1101020018","國泰醫療財團法人國泰綜合醫院","1101010021","基督復臨安息日會醫療財團法人臺安醫院",NA,"",NA,"",121.5339866,25.0263057
"23","3501021391","全家聯合診所","台北市大安區和平東路2段353號","臺北市","1010200115","大安民生","1101020018","國泰醫療財團法人國泰綜合醫院","1101010021","基督復臨安息日會醫療財團法人臺安醫院",NA,"",NA,"",121.5461913,25.0249114
